Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,14.424371541062426,14.485513147575057,13.476673133218137,13.50214958190918,0.0,0.130663,0.0
2008-01-03,13.555812994642226,13.680669540797664,13.173600294762473,13.227109909057617,0.0,0.004387,0.0
2008-01-04,13.351961394428026,13.466624810171107,12.957008070157798,13.071671485900879,5694095.0,0.0,0.0
2008-01-07,13.13536804480029,13.481906985990229,13.127723820644617,13.31373405456543,0.0,0.0,0.0
2008-01-08,13.555803064767549,13.80806365943072,13.443687374828285,13.517581939697266,0.0,0.0,0.0
2008-01-09,13.479365544868005,13.497201686426845,13.086961076975843,13.400374412536621,0.0,0.0,0.0
2008-01-10,13.453881103968056,13.759651315067245,13.377440012692581,13.581286430358887,0.0,0.0,0.0
2008-01-11,13.489557235855358,13.644990642584709,13.326479601555699,13.362153053283691,0.0,0.0,0.0
2008-01-14,13.377439348856827,13.632246481395688,13.306092463154403,13.497198104858398,0.0,0.0,0.0
2008-01-15,13.374891189036145,13.377440043857552,12.867822244705362,12.918784141540527,0.0,0.0,0.0
2008-01-16,12.663979429652821,12.791383623389374,12.335276446124546,12.689459800720215,0.0,0.0,0.0
2008-01-17,12.692008795092022,12.84234567519355,12.12888124710515,12.15945816040039,0.0,0.0,0.0
2008-01-18,12.332729970919765,12.740422963234513,11.950517352174725,12.202776908874512,0.0,0.0,0.0
2008-01-21,11.46892371164347,11.925030739798899,11.46892371164347,11.772146224975586,0.0,0.0,0.0
2008-01-22,11.726280870528592,12.355657405216911,11.46637602612955,11.772146224975586,0.0,0.0,0.0
2008-01-23,11.644742588134697,11.667675266372896,11.0739721486069,11.504597663879395,0.0,0.0,0.0
2008-01-24,12.103401421876171,12.488162880201749,11.774698419921146,12.386239051818848,0.0,0.0,0.0
2008-01-28,12.218069001545343,12.549320971693376,12.17984784522062,12.511099815368652,0.0,0.0,0.0
2008-01-29,12.562049412540388,12.661423152212096,12.083008662160083,12.23079776763916,0.0,0.0,0.0
2008-01-30,12.12886685465849,12.228242874145508,11.820549231989785,12.228242874145508,0.0,0.0,0.0
2008-01-31,11.975992166555704,12.085560177364389,11.670221979656505,11.907194137573242,0.0,0.0,0.0
2008-02-01,11.98364139861393,12.07537214224784,11.40012999738736,11.866430282592773,0.0,0.0,0.0
2008-02-06,11.280377458181594,11.545437812805176,11.18862476243923,11.545437812805176,0.0,0.004387,0.0
2008-02-07,11.344091063455686,11.51994928863715,11.11216286250481,11.351737022399902,0.0,0.0,0.0
2008-02-08,11.412905717403477,11.545436463964217,11.265084221047617,11.267632484436035,0.0,0.0,0.0
2008-02-11,11.38742109025737,11.759526067706691,11.379775129610184,11.723844528198242,0.0,0.0,0.0
2008-02-12,11.876764893945547,12.383948948545912,11.876764893945547,12.106144905090332,0.0,0.0,0.0
2008-02-13,12.131631536752247,12.53177214785002,12.131631536752247,12.437472343444824,0.0,0.0,0.0
2008-02-14,12.564899557216211,12.590385694466393,12.075555898511904,12.134175300598145,0.0,0.0,0.0
2008-02-15,12.042428850616586,12.233577883772316,11.869120004067101,12.208091735839844,0.0,0.0,0.0
2008-02-18,12.391595092792471,12.564905112794586,12.361011246783837,12.488444328308105,3344189.0,0.0,0.0
2008-02-19,12.552158518929923,12.587840054085445,12.238673001173904,12.28454875946045,0.0,0.0,0.0
2008-02-20,12.118879266870149,12.564895288193732,12.101037924338815,12.536858558654785,0.0,0.0,0.0
2008-02-21,12.687237324710141,12.743307305218805,12.440016015510224,12.49099063873291,0.0,0.0,0.0
2008-02-22,12.692342611053578,12.794289588928223,12.457865965300387,12.794289588928223,0.0,0.0,0.0
2008-02-25,12.85545232235899,13.100124272692,12.717825008120712,13.059346199035645,0.0,0.0,0.0
2008-02-26,12.972690126919634,13.609855515927688,12.875840894233221,13.571625709533691,13730398.0,0.0,0.0
2008-02-27,13.45183621870334,13.915692680364305,13.304013547094653,13.747480392456055,0.0,0.0,0.0
2008-02-28,13.686310108011732,13.851974100899808,13.507904800107806,13.844326972961426,0.0,0.0,0.0
2008-02-29,13.686315903380436,13.737289371279223,13.383024529534858,13.45693588256836,0.0,0.0,0.0
2008-03-03,13.355001046374461,13.851991303308404,13.355001046374461,13.78317642211914,0.0,0.0,0.0
