"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"21.12.2020","11.884,72","12.109,73","12.109,73","11.822,28","-","-1,89%"
"18.12.2020","12.114,16","12.179,67","12.271,71","12.078,68","-","-0,54%"
"17.12.2020","12.179,50","12.167,41","12.308,04","12.116,80","-","0,12%"
"16.12.2020","12.164,86","11.928,15","12.262,85","11.848,84","-","1,99%"
"15.12.2020","11.927,96","11.824,25","12.009,91","11.822,40","-","0,92%"
"14.12.2020","11.819,66","11.875,83","11.971,17","11.815,33","-","-0,47%"
"11.12.2020","11.875,62","11.830,87","11.927,68","11.641,59","-","0,38%"
"10.12.2020","11.830,73","11.454,14","11.848,45","11.452,49","-","3,29%"
"09.12.2020","11.453,69","11.522,85","11.584,41","11.420,52","-","-0,58%"
"08.12.2020","11.521,06","11.563,76","11.720,88","11.448,30","-","-0,37%"
"07.12.2020","11.563,78","11.522,45","11.722,70","11.446,83","-","0,37%"
"04.12.2020","11.521,60","11.459,22","11.565,52","11.398,39","-","0,57%"
"03.12.2020","11.455,96","11.449,10","11.737,72","11.434,53","-","0,05%"
"02.12.2020","11.450,62","11.303,79","11.450,62","11.285,98","-","1,30%"
"01.12.2020","11.303,75","10.924,47","11.446,62","10.924,47","-","3,48%"
"30.11.2020","10.923,15","11.115,80","11.132,58","10.920,92","-","-1,73%"
"27.11.2020","11.115,80","11.113,02","11.302,76","11.104,95","-","0,03%"
"26.11.2020","11.112,93","11.203,51","11.203,51","11.005,66","-","-0,81%"
"25.11.2020","11.203,13","11.238,09","11.262,56","11.093,48","-","-0,31%"
"24.11.2020","11.237,87","10.936,69","11.309,38","10.936,67","-","2,75%"
"23.11.2020","10.936,69","10.895,50","11.025,30","10.882,95","-","0,42%"
"20.11.2020","10.891,47","10.973,24","10.998,46","10.841,79","-","-0,75%"
"19.11.2020","10.973,24","10.910,57","11.061,46","10.885,22","-","0,57%"
"18.11.2020","10.910,92","11.057,84","11.077,33","10.876,67","-","-1,33%"
"17.11.2020","11.057,87","10.990,20","11.068,98","10.863,31","-","0,62%"
"16.11.2020","10.990,15","10.721,23","11.009,58","10.721,23","-","2,51%"
"13.11.2020","10.720,89","10.503,44","10.724,61","10.485,72","-","2,07%"
"12.11.2020","10.503,44","10.789,60","10.823,39","10.423,90","-","-2,65%"
"11.11.2020","10.789,58","10.798,10","10.891,69","10.610,00","-","-0,08%"
"10.11.2020","10.798,10","10.455,23","10.872,63","10.451,01","-","3,28%"
"09.11.2020","10.455,47","10.047,51","10.710,73","10.047,51","-","4,07%"
"06.11.2020","10.047,01","10.017,23","10.067,54","9.893,23","-","0,30%"
"05.11.2020","10.017,23","9.744,09","10.044,53","9.744,04","-","2,81%"
"04.11.2020","9.743,90","9.484,80","9.797,56","9.484,63","-","2,73%"
"03.11.2020","9.484,55","9.341,74","9.602,85","9.341,74","-","1,53%"
"30.10.2020","9.341,44","9.602,69","9.602,69","9.270,10","-","-2,73%"
"29.10.2020","9.603,81","9.535,49","9.639,12","9.252,64","-","0,72%"
"28.10.2020","9.535,49","10.000,97","10.000,97","9.531,79","-","-4,67%"
"27.10.2020","10.002,37","10.297,12","10.444,34","9.966,45","-","-2,86%"
"26.10.2020","10.296,77","10.233,48","10.355,00","10.105,78","-","0,61%"
"23.10.2020","10.234,46","10.338,89","10.479,79","10.220,87","-","-1,01%"
"22.10.2020","10.338,80","10.101,18","10.373,83","10.091,17","-","2,35%"
"21.10.2020","10.101,18","10.041,62","10.223,39","9.953,95","-","0,60%"
"20.10.2020","10.041,14","9.711,41","10.061,08","9.711,26","-","3,42%"
"19.10.2020","9.708,86","9.528,30","9.846,08","9.528,30","-","1,90%"
"16.10.2020","9.528,14","9.728,71","9.728,71","9.528,14","-","-2,05%"
"15.10.2020","9.727,88","9.797,37","9.802,57","9.616,74","-","-0,71%"
"14.10.2020","9.797,52","9.734,22","9.863,98","9.733,61","-","0,65%"
