,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Var
0,2000-01-03,1.332810401916504,1.3581972122192383,1.3010767698287964,1.3010767698287964,514800.0,0.0,0.0,0.0
1,2000-01-04,1.301077127456665,1.3042505979537964,1.239196538925171,1.239196538925171,314100.0,0.0,0.0,-0.047560784965753555
2,2000-01-05,1.2376102209091187,1.253476858139038,1.1931828260421753,1.2518904209136963,478800.0,0.0,0.0,0.010243639349937439
3,2000-01-06,1.2518901824951172,1.2693432569503784,1.2376099824905396,1.2693432569503784,205200.0,0.0,0.0,0.013941184617578983
4,2000-01-07,1.2693428993225098,1.2693428993225098,1.2407827377319336,1.2407827377319336,394200.0,0.0,0.0,-0.022500233724713326
5,2000-01-10,1.299491047859192,1.3105976581573486,1.2693438529968262,1.3090111017227173,549000.0,0.0,0.0,0.05498816445469856
6,2000-01-11,1.316943883895874,1.358197808265686,1.2741036415100098,1.2915571928024292,642600.0,0.0,0.0,-0.013333659619092941
7,2000-01-12,1.3010776042938232,1.3169441223144531,1.2772773504257202,1.3090111017227173,584100.0,0.0,0.0,0.01351384911686182
8,2000-01-13,1.3328105211257935,1.3486772775650024,1.2867966890335083,1.2867966890335083,551700.0,0.0,0.0,-0.016970377415418625
9,2000-01-14,1.3010772466659546,1.316943883895874,1.2852106094360352,1.2852106094360352,248400.0,0.0,0.0,-0.0012325798161327839
10,2000-01-17,1.2693434953689575,1.3010772466659546,1.2566503286361694,1.2947306632995605,149400.0,0.0,0.0,0.007407388184219599
11,2000-01-18,1.269343614578247,1.3391577005386353,1.269343614578247,1.3296376466751099,306000.0,0.0,0.0,0.02696080692112446
12,2000-01-19,1.3312236070632935,1.345503807067871,1.3010770082473755,1.3153570890426636,105300.0,0.0,0.0,-0.0107401879504323
13,2000-01-20,1.2947300672531128,1.3359832763671875,1.2947300672531128,1.3074231147766113,344700.0,0.0,0.0,-0.006031802389770746
14,2000-01-21,1.301077127456665,1.3328107595443726,1.2883834838867188,1.3185306787490845,158400.0,0.0,0.0,0.008495768532156944
15,2000-01-24,1.2852102518081665,1.3486772775650024,1.2852102518081665,1.2867966890335083,897300.0,0.0,0.0,-0.024067692458629608
16,2000-01-26,1.2867965698242188,1.3248769044876099,1.2867965698242188,1.3169432878494263,146700.0,0.0,0.0,0.023427631705999374
17,2000-01-27,1.348677396774292,1.348677396774292,1.2867968082427979,1.2883833646774292,202500.0,0.0,0.0,-0.021686524152755737
18,2000-01-28,1.3328102827072144,1.3328102827072144,1.248716115951538,1.2550626993179321,535500.0,0.0,0.0,-0.02586238458752632
19,2000-01-31,1.2614110708236694,1.2614110708236694,1.2376108169555664,1.2534774541854858,286200.0,0.0,0.0,-0.0012630803976207972
